USPS	GEOID	ANSICODE	NAME	LSAD	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                 
VA	5165744	02389728	Raven CDP	57	S	16883786	80549	       6.519	       0.031	 37.093489	 -81.859473                                                                                                      
VA	5165776	02584907	Ravensworth CDP	57	S	2291944	244910	       0.885	       0.095	 38.803156	 -77.222587                                                                                                
VA	5166512	02391384	Remington town	43	A	572275	0	       0.221	       0.000	 38.534652	 -77.808238                                                                                                       
VA	5166672	02389745	Reston CDP	57	S	39692003	838593	      15.325	       0.324	 38.948449	 -77.342215                                                                                                    
VA	5166896	02391386	Rich Creek town	43	A	2197064	0	       0.848	       0.000	 37.383281	 -80.820692                                                                                                     
VA	5166928	02391387	Richlands town	43	A	14808880	136141	       5.718	       0.053	 37.088022	 -81.810416                                                                                                
VA	5167000	01789073	Richmond city	25	A	154942138	6879776	      59.823	       2.656	 37.531399	 -77.476009                                                                                               
VA	5167208	02391390	Ridgeway town	43	A	2473147	0	       0.955	       0.000	 36.578176	 -79.858299                                                                                                       
VA	5167256	02584908	Riner CDP	57	S	3776798	3019	       1.458	       0.001	 37.067043	 -80.440573                                                                                                        
VA	5167331	02584909	Rivanna CDP	57	S	7053564	23187	       2.723	       0.009	 37.995279	 -78.378840                                                                                                     
VA	5167352	02584910	Riverdale CDP	57	S	21025213	396687	       8.118	       0.153	 36.674848	 -78.894011                                                                                                 
VA	5167704	02629844	Riverview CDP	57	S	1477559	24987	       0.570	       0.010	 36.931192	 -82.484189                                                                                                   
VA	5168000	01498439	Roanoke city	25	A	110141397	882886	      42.526	       0.341	 37.278458	 -79.958174                                                                                                 
VA	5168470	02584911	Rockwood CDP	57	S	13825058	205092	       5.338	       0.079	 37.462833	 -77.572819                                                                                                  
VA	5168496	02391395	Rocky Mount town	43	A	17716969	70886	       6.841	       0.027	 37.004527	 -79.884394                                                                                               
VA	5168880	02389774	Rose Hill CDP	57	S	14370796	38384	       5.549	       0.015	 38.786916	 -77.108827                                                                                                  
VA	5168885	02389775	Rose Hill CDP	57	S	8876668	7485	       3.427	       0.003	 36.664156	 -83.373733                                                                                                    
VA	5169168	02391396	Round Hill town	43	A	947194	9435	       0.366	       0.004	 39.131505	 -77.767200                                                                                                   
VA	5169360	02629036	Ruckersville CDP	57	S	7128971	56453	       2.753	       0.022	 38.228054	 -78.377478                                                                                                
VA	5169456	02391399	Rural Retreat town	43	A	5894325	820	       2.276	       0.000	 36.905132	 -81.277250                                                                                                
VA	5169472	02389789	Rushmere CDP	57	S	21363697	405654	       8.249	       0.157	 37.071443	 -76.670817                                                                                                  
